,Unnamed: 0,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,Longitude,Latitude,GEOID_num,OccDensity,nullcheck,geometry,population,income,demand_scaled
232,1874,42,3,50600,1400000US42003050600,42003050600,506.0,CT,805418,6849,40.453089718,-79.95984327560001,42003050600.0,,,"POLYGON ((-79.966005 40.455191, -79.96042 40.45698, -79.95885299999999 40.457975, -79.95782799999999 40.458489, -79.95721999999999 40.458653999999996, -79.95617899999999 40.458301999999996, -79.95407 40.453171999999995, -79.954904 40.450976, -79.95770999999999 40.448972, -79.958474 40.448449, -79.958755 40.448363, -79.96486999999999 40.448777, -79.965183 40.450544, -79.96436 40.451958999999995, -79.964377 40.452270999999996, -79.964925 40.452883, -79.965676 40.453665, -79.966005 40.455191))",2145,19759,0.35493258281392087
371,3051,42,3,50900,1400000US42003050900,42003050900,509.0,CT,455034,0,40.4510398404,-79.9744390539,42003050900.0,,,"POLYGON ((-79.983899 40.448519999999995, -79.980942 40.449915, -79.979146 40.450402, -79.97685 40.450965, -79.973946 40.452705, -79.97366699999999 40.452843, -79.968302 40.454997, -79.96601 40.455659999999995, -79.966005 40.455191, -79.965676 40.453665, -79.964925 40.452883, -79.96666499999999 40.453175, -79.96945699999999 40.451997, -79.971131 40.450209, -79.972523 40.449619999999996, -79.97299799999999 40.450493, -79.97555 40.449408999999996, -79.982429 40.446493, -79.98365199999999 40.447641999999995, -79.983899 40.448519999999995))",1348,13468,0.3449982124798122
46,260,42,3,51000,1400000US42003051000,42003051000,510.0,CT,645419,0,40.4443750321,-79.96760171689999,42003051000.0,,,"POLYGON ((-79.975045 40.44366, -79.973393 40.444364, -79.971864 40.444993, -79.969054 40.446039, -79.967485 40.447103999999996, -79.96486999999999 40.448777, -79.958755 40.448363, -79.958474 40.448449, -79.959817 40.447396, -79.960888 40.445473, -79.963252 40.444663, -79.96517899999999 40.443255, -79.965757 40.442819, -79.96610799999999 40.44336, -79.96801599999999 40.442903, -79.968333 40.441826, -79.967946 40.441147, -79.968713 40.438770999999996, -79.972433 40.44037, -79.973209 40.44012, -79.97381399999999 40.440674, -79.975045 40.44366))",2130,7041,0.33773284720618807
233,1875,42,3,51100,1400000US42003051100,42003051100,511.0,CT,194599,0,40.4415128502,-79.9763132222,42003051100.0,,,"POLYGON ((-79.97927299999999 40.442872, -79.975616 40.444438, -79.975045 40.44366, -79.97381399999999 40.440674, -79.973209 40.44012, -79.97301999999999 40.43978, -79.97537299999999 40.439202, -79.97787799999999 40.439347999999995, -79.97927299999999 40.442872))",402,16473,0.2820217274670962
394,3197,42,3,60300,1400000US42003060300,42003060300,603.0,CT,1117947,143800,40.4652488786,-79.9650644013,42003060300.0,,,"POLYGON ((-79.97156 40.468987999999996, -79.970767 40.470658, -79.970036 40.471108, -79.968685 40.47275, -79.96369899999999 40.469822, -79.96229 40.468706999999995, -79.960903 40.467583999999995, -79.95922 40.466235, -79.957961 40.465182, -79.957166 40.462427999999996, -79.954572 40.462807, -79.953732 40.462807, -79.954185 40.462184, -79.955936 40.460302999999996, -79.95693299999999 40.460727, -79.957695 40.460843, -79.966079 40.459437, -79.96664 40.460606999999996, -79.968074 40.461012, -79.973908 40.465869999999995, -79.97156 40.468987999999996))",2226,43229,0.4319050775106169
234,1876,42,3,60500,1400000US42003060500,42003060500,605.0,CT,664236,0,40.4576460367,-79.9662099295,42003060500.0,,,"POLYGON ((-79.974947 40.456294, -79.968074 40.461012, -79.96664 40.460606999999996, -79.966079 40.459437, -79.957695 40.460843, -79.95693299999999 40.460727, -79.955936 40.460302999999996, -79.957202 40.458821, -79.95721999999999 40.458653999999996, -79.95782799999999 40.458489, -79.95885299999999 40.457975, -79.96042 40.45698, -79.966005 40.455191, -79.96601 40.455659999999995, -79.968302 40.454997, -79.97366699999999 40.452843, -79.972905 40.455613, -79.974947 40.456294))",1244,36832,0.3838352870528126
52,274,42,3,70300,1400000US42003070300,42003070300,703.0,CT,428546,0,40.4507835204,-79.9352093899,42003070300.0,,,"POLYGON ((-79.94094799999999 40.451316, -79.93680499999999 40.452707, -79.935964 40.453106999999996, -79.932568 40.454746, -79.930979 40.452062, -79.92964599999999 40.449827, -79.93420499999999 40.4484, -79.935802 40.447911, -79.937291 40.447792, -79.93883799999999 40.447686, -79.94094799999999 40.451316))",2192,36750,0.6746658026153077
98,741,42,3,70500,1400000US42003070500,42003070500,705.0,CT,412753,0,40.456014882699996,-79.92895861689999,42003070500.0,,,"POLYGON ((-79.934057 40.457262, -79.92898 40.458757999999996, -79.925043 40.459953999999996, -79.92510399999999 40.458991999999995, -79.925198 40.457378, -79.925209 40.457124, -79.925341 40.454161, -79.927109 40.453429, -79.928821 40.452752, -79.930979 40.452062, -79.932568 40.454746, -79.934057 40.457262))",3131,33876,0.8798393713446431
235,1877,42,3,70600,1400000US42003070600,42003070600,706.0,CT,289737,0,40.4532796912,-79.9254623939,42003070600.0,,,"POLYGON ((-79.930979 40.452062, -79.928821 40.452752, -79.927109 40.453429, -79.925341 40.454161, -79.925209 40.457124, -79.925198 40.457378, -79.922454 40.456790999999996, -79.92257699999999 40.456005999999995, -79.920712 40.452894, -79.92207499999999 40.452686, -79.923971 40.451932, -79.925787 40.451201, -79.928437 40.450212, -79.92964599999999 40.449827, -79.930979 40.452062))",2150,42170,0.913543094387488
19,112,42,3,70800,1400000US42003070800,42003070800,708.0,CT,446680,0,40.4564791939,-79.9197697613,42003070800.0,,,"POLYGON ((-79.92510399999999 40.458991999999995, -79.925043 40.459953999999996, -79.92272299999999 40.460656, -79.921229 40.460045, -79.918069 40.457929, -79.917412 40.457481, -79.912424 40.454037, -79.915354 40.453613999999995, -79.920712 40.452894, -79.92257699999999 40.456005999999995, -79.922454 40.456790999999996, -79.925198 40.457378, -79.92510399999999 40.458991999999995))",2566,44759,0.7781119241809118
47,261,42,3,70900,1400000US42003070900,42003070900,709.0,CT,803571,0,40.4520386836,-79.94194213829999,42003070900.0,,,"POLYGON ((-79.949688 40.452585, -79.94639 40.453579, -79.94308199999999 40.454566, -79.944272 40.45525, -79.941985 40.455939, -79.941493 40.45504, -79.938591 40.455909999999996, -79.93648999999999 40.456565, -79.934057 40.457262, -79.932568 40.454746, -79.935964 40.453106999999996, -79.93680499999999 40.452707, -79.94094799999999 40.451316, -79.93883799999999 40.447686, -79.946867 40.447143, -79.94769099999999 40.447976, -79.948751 40.450392, -79.949688 40.452585))",4278,28141,0.6430394934336277
127,1019,42,3,80200,1400000US42003080200,42003080200,802.0,CT,344564,0,40.4600213912,-79.9513809813,42003080200.0,,,"POLYGON ((-79.954185 40.462184, -79.953732 40.462807, -79.95296499999999 40.463608, -79.95181199999999 40.463145999999995, -79.949866 40.462087, -79.947093 40.460615, -79.948236 40.458456999999996, -79.947515 40.456873, -79.950373 40.457204999999995, -79.95147999999999 40.457344, -79.9533 40.457766, -79.955936 40.460302999999996, -79.954185 40.462184))",1725,32691,0.6411487604271784
236,1878,42,3,80400,1400000US42003080400,42003080400,804.0,CT,430386,0,40.4563520791,-79.9459674295,42003080400.0,,,"POLYGON ((-79.95147999999999 40.457344, -79.950373 40.457204999999995, -79.947515 40.456873, -79.948236 40.458456999999996, -79.947093 40.460615, -79.94372899999999 40.458811999999995, -79.938591 40.455909999999996, -79.941493 40.45504, -79.941985 40.455939, -79.944272 40.45525, -79.94308199999999 40.454566, -79.94639 40.453579, -79.949688 40.452585, -79.949775 40.453114, -79.95121 40.456457, -79.95147999999999 40.457344))",1547,25438,0.4718414954913205
238,1890,42,3,80600,1400000US42003080600,42003080600,806.0,CT,404921,0,40.460131729699995,-79.9396844493,42003080600.0,,,"POLYGON ((-79.943535 40.460021999999995, -79.943218 40.462342, -79.94159599999999 40.462204, -79.941347 40.464099, -79.93607399999999 40.462976, -79.936302 40.461763, -79.936736 40.459446, -79.937058 40.457674999999995, -79.93648999999999 40.456565, -79.938591 40.455909999999996, -79.94372899999999 40.458811999999995, -79.943535 40.460021999999995))",2073,38993,0.6882015174270618
314,2504,42,3,80700,1400000US42003080700,42003080700,807.0,CT,275058,0,40.4609961453,-79.9343872956,42003080700.0,,,"POLYGON ((-79.936736 40.459446, -79.936302 40.461763, -79.93607399999999 40.462976, -79.935108 40.464734, -79.934518 40.464771999999996, -79.93248899999999 40.464124999999996, -79.930673 40.463493, -79.931617 40.461959, -79.93239899999999 40.460678, -79.93425599999999 40.457577, -79.934057 40.457262, -79.93648999999999 40.456565, -79.937058 40.457674999999995, -79.936736 40.459446))",1878,32269,0.802327205877647
48,262,42,3,80900,1400000US42003080900,42003080900,809.0,CT,380225,0,40.4630143841,-79.94430827939999,42003080900.0,,,"POLYGON ((-79.949861 40.462182999999996, -79.94806799999999 40.465697999999996, -79.946446 40.465466, -79.94523099999999 40.465297, -79.941135 40.464745, -79.939382 40.464532999999996, -79.936441 40.464676, -79.935108 40.464734, -79.93607399999999 40.462976, -79.941347 40.464099, -79.94159599999999 40.462204, -79.943218 40.462342, -79.943535 40.460021999999995, -79.94372899999999 40.458811999999995, -79.947093 40.460615, -79.949866 40.462087, -79.949861 40.462182999999996))",1911,40134,0.6864740287392095
131,1071,42,3,90100,1400000US42003090100,42003090100,901.0,CT,672423,146361,40.475309228600004,-79.9619760767,42003090100.0,,,"POLYGON ((-79.964756 40.477917, -79.96317499999999 40.479766, -79.96069 40.482054999999995, -79.955699 40.478347, -79.957619 40.476127, -79.958046 40.473859, -79.95880799999999 40.472818, -79.96091 40.469795999999995, -79.96229 40.468706999999995, -79.96369899999999 40.469822, -79.968685 40.47275, -79.964756 40.477917))",1943,52181,0.5650190497802337
374,3067,42,3,90200,1400000US42003090200,42003090200,902.0,CT,446356,0,40.4689134384,-79.95711149430001,42003090200.0,,,"POLYGON ((-79.96091 40.469795999999995, -79.95880799999999 40.472818, -79.958046 40.473859, -79.95415299999999 40.471294, -79.954786 40.46888, -79.95386599999999 40.468348, -79.951802 40.467363999999996, -79.95192999999999 40.46617, -79.95230699999999 40.466142, -79.954351 40.465798, -79.955184 40.465652, -79.957961 40.465182, -79.95922 40.466235, -79.960903 40.467583999999995, -79.96229 40.468706999999995, -79.96091 40.469795999999995))",2746,38707,0.779301154372758
239,1891,42,3,90300,1400000US42003090300,42003090300,903.0,CT,256777,0,40.4643548058,-79.9530472237,42003090300.0,,,"POLYGON ((-79.957961 40.465182, -79.955184 40.465652, -79.954351 40.465798, -79.95230699999999 40.466142, -79.95192999999999 40.46617, -79.948099 40.465702, -79.94806799999999 40.465697999999996, -79.949861 40.462182999999996, -79.949866 40.462087, -79.95181199999999 40.463145999999995, -79.95296499999999 40.463608, -79.953732 40.462807, -79.954572 40.462807, -79.957166 40.462427999999996, -79.957961 40.465182))",1631,31192,0.7532696218094705
321,2647,42,3,100500,1400000US42003100500,42003100500,1005.0,CT,714305,0,40.4771728986,-79.93698007399999,42003100500.0,,,"POLYGON ((-79.944414 40.478645, -79.940649 40.481964, -79.937742 40.48135, -79.93715999999999 40.4812, -79.93443599999999 40.48048, -79.933208 40.479855, -79.933039 40.479641, -79.931916 40.475217, -79.931463 40.473909, -79.931716 40.472041, -79.93278699999999 40.470636999999996, -79.93457099999999 40.472166, -79.936529 40.474267999999995, -79.93820699999999 40.474095, -79.93837099999999 40.474117, -79.94271599999999 40.477478999999995, -79.944414 40.478645))",1845,35592,0.44038171380668406
373,3062,42,3,101100,1400000US42003101100,42003101100,1011.0,CT,1049825,305757,40.483870895100004,-79.9496480657,42003101100.0,,,"POLYGON ((-79.96069 40.482054999999995, -79.955351 40.485907, -79.951054 40.487655, -79.947617 40.488758, -79.938355 40.490983, -79.938012 40.491067, -79.937156 40.488429, -79.946298 40.485158, -79.94317 40.48318, -79.947546 40.480077, -79.946973 40.478102, -79.948944 40.478173, -79.949207 40.478161, -79.95131099999999 40.477456, -79.95438999999999 40.477466, -79.954861 40.477795, -79.955699 40.478347, -79.96069 40.482054999999995))",2573,34353,0.42126600525427893
107,897,42,3,101400,1400000US42003101400,42003101400,1014.0,CT,930966,301741,40.485163748299996,-79.92700811489999,42003101400.0,,,"POLYGON ((-79.938012 40.491067, -79.935572 40.491490999999996, -79.93218 40.491689, -79.927922 40.491538, -79.917249 40.489258, -79.915182 40.488835, -79.912483 40.488273, -79.913254 40.486613999999996, -79.918537 40.488009999999996, -79.919151 40.487545999999995, -79.92051099999999 40.486675, -79.922383 40.485486, -79.92437699999999 40.483368, -79.92728699999999 40.481108, -79.927573 40.480768, -79.928123 40.476600999999995, -79.92854899999999 40.475209, -79.92830000000001 40.47418, -79.928349 40.472318, -79.93119399999999 40.473437, -79.931463 40.473909, -79.931916 40.475217, -79.931799 40.475390999999995, -79.931716 40.476482, -79.93202 40.478584, -79.930684 40.482794999999996, -79.92983199999999 40.485388, -79.92925699999999 40.485872, -79.92795799999999 40.486923, -79.925978 40.487617, -79.92553199999999 40.488307999999996, -79.929744 40.489115, -79.93485199999999 40.489169, -79.937156 40.488429, -79.938012 40.491067))",3083,34276,0.49815294506968305
130,1044,42,3,101600,1400000US42003101600,42003101600,1016.0,CT,464604,0,40.470359509299996,-79.939095135,42003101600.0,,,"POLYGON ((-79.94738199999999 40.468447, -79.944495 40.471634, -79.939082 40.473081, -79.93457099999999 40.472166, -79.93278699999999 40.470636999999996, -79.934617 40.467687, -79.94022199999999 40.468471, -79.942212 40.468748, -79.942582 40.470286, -79.944481 40.469832, -79.94680799999999 40.46751, -79.94738199999999 40.468447))",1043,20333,0.3207079748484752
75,533,42,3,101700,1400000US42003101700,42003101700,1017.0,CT,392498,0,40.466897651,-79.9411443084,42003101700.0,,,"POLYGON ((-79.94680799999999 40.46751, -79.944481 40.469832, -79.942582 40.470286, -79.942212 40.468748, -79.94022199999999 40.468471, -79.934617 40.467687, -79.936441 40.464676, -79.939382 40.464532999999996, -79.941135 40.464745, -79.94523099999999 40.465297, -79.946446 40.465466, -79.94611599999999 40.466964, -79.94680799999999 40.46751))",1327,28014,0.46773081568127883
395,3198,42,3,101800,1400000US42003101800,42003101800,1018.0,CT,1197151,0,40.484200912199995,-79.93680831420001,42003101800.0,,,"POLYGON ((-79.948944 40.478173, -79.946973 40.478102, -79.947546 40.480077, -79.94317 40.48318, -79.946298 40.485158, -79.937156 40.488429, -79.93485199999999 40.489169, -79.929744 40.489115, -79.92553199999999 40.488307999999996, -79.925978 40.487617, -79.92795799999999 40.486923, -79.92925699999999 40.485872, -79.92983199999999 40.485388, -79.930684 40.482794999999996, -79.93202 40.478584, -79.931716 40.476482, -79.931799 40.475390999999995, -79.931916 40.475217, -79.933039 40.479641, -79.933208 40.479855, -79.93443599999999 40.48048, -79.93715999999999 40.4812, -79.937742 40.48135, -79.940649 40.481964, -79.944414 40.478645, -79.947058 40.477612, -79.948944 40.478173))",2621,39354,0.4270364682998415
199,1732,42,3,110200,1400000US42003110200,42003110200,1102.0,CT,815006,0,40.475585486,-79.9231569658,42003110200.0,,,"POLYGON ((-79.92854899999999 40.475209, -79.928123 40.476600999999995, -79.927573 40.480768, -79.927362 40.480692999999995, -79.925575 40.480069, -79.922382 40.479473999999996, -79.91970599999999 40.479735, -79.916175 40.47848, -79.917873 40.475913, -79.918786 40.474502, -79.919192 40.473667, -79.91973899999999 40.472488999999996, -79.921025 40.46969, -79.926277 40.471522, -79.928349 40.472318, -79.92830000000001 40.47418, -79.92854899999999 40.475209))",3973,38621,0.6640372160482811
108,898,42,3,110600,1400000US42003110600,42003110600,1106.0,CT,637590,0,40.4726942067,-79.9156452311,42003110600.0,,,"POLYGON ((-79.91973899999999 40.472488999999996, -79.919192 40.473667, -79.918786 40.474502, -79.917873 40.475913, -79.916175 40.47848, -79.913341 40.478718, -79.914305 40.475280999999995, -79.910815 40.475131999999995, -79.91163399999999 40.470136, -79.914839 40.468832, -79.914605 40.46741, -79.916161 40.466991, -79.91694799999999 40.468581, -79.921025 40.46969, -79.91973899999999 40.472488999999996))",2390,46528,0.6091116880277159
49,263,42,3,111300,1400000US42003111300,42003111300,1113.0,CT,540629,0,40.468996880700004,-79.9244996075,42003111300.0,,,"POLYGON ((-79.93278699999999 40.470636999999996, -79.931716 40.472041, -79.931463 40.473909, -79.93119399999999 40.473437, -79.928349 40.472318, -79.926277 40.471522, -79.921025 40.46969, -79.91694799999999 40.468581, -79.916161 40.466991, -79.919229 40.465987999999996, -79.919904 40.46507, -79.921635 40.465681, -79.922763 40.465942999999996, -79.924257 40.466297, -79.928123 40.467723, -79.927517 40.46875, -79.93181 40.470271, -79.93278699999999 40.470636999999996))",3013,28065,0.6650037594974286
227,1863,42,3,111400,1400000US42003111400,42003111400,1114.0,CT,327621,0,40.467007272,-79.9318414932,42003111400.0,,,"POLYGON ((-79.936441 40.464676, -79.934617 40.467687, -79.93278699999999 40.470636999999996, -79.93181 40.470271, -79.927517 40.46875, -79.928123 40.467723, -79.929401 40.465610999999996, -79.930673 40.463493, -79.93248899999999 40.464124999999996, -79.934518 40.464771999999996, -79.935108 40.464734, -79.936441 40.464676))",1469,21681,0.5297665874843306
20,165,42,3,111500,1400000US42003111500,42003111500,1115.0,CT,965267,0,40.4622237835,-79.9247472522,42003111500.0,,,"POLYGON ((-79.93425599999999 40.457577, -79.93239899999999 40.460678, -79.931617 40.461959, -79.930673 40.463493, -79.929401 40.465610999999996, -79.928123 40.467723, -79.924257 40.466297, -79.922763 40.465942999999996, -79.921635 40.465681, -79.919904 40.46507, -79.918938 40.464718999999995, -79.917065 40.463086, -79.91577099999999 40.459858, -79.917412 40.457481, -79.918069 40.457929, -79.921229 40.460045, -79.92272299999999 40.460656, -79.925043 40.459953999999996, -79.92898 40.458757999999996, -79.934057 40.457262, -79.93425599999999 40.457577))",2770,24440,0.40087873515547967
375,3068,42,3,120300,1400000US42003120300,42003120300,1203.0,CT,1079674,0,40.4693792925,-79.9029370142,42003120300.0,,,"POLYGON ((-79.908622 40.470281, -79.908275 40.474216, -79.904563 40.474025, -79.899177 40.476061, -79.89842399999999 40.475722999999995, -79.898082 40.473546999999996, -79.899249 40.472722, -79.897111 40.470071999999995, -79.896047 40.468748999999995, -79.896602 40.468385, -79.89897599999999 40.464667999999996, -79.90062999999999 40.464239, -79.903324 40.463533999999996, -79.90418799999999 40.463314, -79.90561699999999 40.462596, -79.90593199999999 40.463372, -79.908028 40.466237, -79.908728 40.467348, -79.908622 40.470281))",2098,23702,0.3133130391147625
382,3125,42,3,120400,1400000US42003120400,42003120400,1204.0,CT,437417,0,40.4654389022,-79.9104819917,42003120400.0,,,"POLYGON ((-79.916161 40.466991, -79.914605 40.46741, -79.90954599999999 40.470181, -79.908622 40.470281, -79.908728 40.467348, -79.908028 40.466237, -79.90593199999999 40.463372, -79.90561699999999 40.462596, -79.906637 40.462058, -79.907125 40.461839, -79.90978899999999 40.461056, -79.912301 40.463327, -79.915527 40.466176, -79.916161 40.466991))",721,16024,0.24188341560703905
228,1864,42,3,120700,1400000US42003120700,42003120700,1207.0,CT,514927,0,40.4594481125,-79.9039450113,42003120700.0,,,"POLYGON ((-79.909547 40.456691, -79.90804 40.458673999999995, -79.905791 40.461785, -79.90561699999999 40.462596, -79.90418799999999 40.463314, -79.903324 40.463533999999996, -79.90062999999999 40.464239, -79.89902699999999 40.463865, -79.900936 40.458951, -79.90111499999999 40.45849, -79.902271 40.455599, -79.90284199999999 40.454879, -79.903148 40.454981, -79.90490799999999 40.455442, -79.905264 40.455556, -79.90531 40.455481999999996, -79.905479 40.455245, -79.90968699999999 40.456565, -79.909547 40.456691))",882,19654,0.26892802538303534
379,3096,42,3,120800,1400000US42003120800,42003120800,1208.0,CT,715702,0,40.4603670777,-79.913185377,42003120800.0,,,"POLYGON ((-79.919229 40.465987999999996, -79.916161 40.466991, -79.915527 40.466176, -79.912301 40.463327, -79.90978899999999 40.461056, -79.907125 40.461839, -79.906637 40.462058, -79.90561699999999 40.462596, -79.905791 40.461785, -79.90804 40.458673999999995, -79.909547 40.456691, -79.90968699999999 40.456565, -79.911418 40.454915, -79.912424 40.454037, -79.917412 40.457481, -79.91577099999999 40.459858, -79.917065 40.463086, -79.918938 40.464718999999995, -79.919904 40.46507, -79.919229 40.465987999999996))",836,16540,0.20175416120039766
